iter	TotalF1	MultiClass
198	0.9264989492	0.2480356267
199	0.9266226377	0.2475910361
200	0.9266297132	0.247404194
201	0.9266879572	0.2472020561
202	0.9267432893	0.24705114
203	0.9268238368	0.2466317984
204	0.9268550671	0.2463866691
205	0.9270036378	0.2461624396
206	0.9271094556	0.2458988057
207	0.9271577665	0.2455706956
208	0.9273236723	0.2452277188
209	0.9274130379	0.2449127009
210	0.9274613752	0.2447080677
211	0.9276351489	0.2444860429
212	0.9277301042	0.2441008978
213	0.9277639959	0.2438940428
214	0.9279236318	0.2435127633
215	0.9279981941	0.2432313267
216	0.9280299824	0.243097982
217	0.9280371322	0.2429403867
218	0.92814224	0.242659559
219	0.9282218736	0.2422199017
220	0.9282532286	0.2419725523
221	0.92830821	0.2416906821
222	0.9283700006	0.2414224344
223	0.9284612699	0.2410861642
224	0.9284809469	0.2409470796
225	0.9284967244	0.2407411916
226	0.9285357883	0.2405391644
227	0.9285392746	0.2402298076
228	0.9285558579	0.2401278545
229	0.928561643	0.2399101226
230	0.9286182837	0.2396308367
231	0.9286814302	0.2394303673
232	0.9287499992	0.2391895821
233	0.9287849342	0.239042131
234	0.9288221708	0.2388437784
235	0.9288556992	0.2386726343
236	0.9288432132	0.2384909042
237	0.9290131841	0.2383463736
238	0.9290393097	0.2382363862
239	0.9290924565	0.2380157886
240	0.9291579159	0.2377408138
241	0.9292053867	0.2376061674
242	0.9292433963	0.2374780542
243	0.9292346706	0.2372964188
244	0.9293466835	0.2369365182
245	0.9294622516	0.236697667
246	0.9295140991	0.2364129868
247	0.9295630204	0.2362538072
248	0.929619484	0.23610949
249	0.9297054634	0.235843208
250	0.9297819948	0.2354914393
251	0.9297832821	0.2353917914
252	0.929888045	0.2352415289
253	0.9299679407	0.2349925662
254	0.9300405342	0.2348772241
255	0.9301104479	0.2347174381
256	0.9302038465	0.2344377338
257	0.9301778093	0.2342777382
258	0.9301970617	0.2341939468
259	0.9302381003	0.2339673642
260	0.9302724974	0.2338200266
261	0.9303131889	0.2336741952
262	0.9303344037	0.2336248601
263	0.930311949	0.2335301853
264	0.9303108342	0.2333263666
265	0.9303617973	0.2332017254
266	0.9304226515	0.2330848095
267	0.9304868534	0.2327524448
268	0.9305021026	0.2325451628
269	0.9305356223	0.2323571501
270	0.9305813638	0.2321619199
271	0.9306584742	0.2319411506
272	0.9306336558	0.2317451443
273	0.9306442678	0.2315996456
274	0.9307076298	0.2314403567
275	0.9307132124	0.2313432989
276	0.9307718747	0.2311601691
277	0.9308045994	0.2309260019
278	0.9308741283	0.2307347964
279	0.9309321834	0.2305513006
280	0.9309644422	0.2304625847
281	0.9309698853	0.2304200326
282	0.931010692	0.2302981485
283	0.9310649885	0.2301770607
284	0.9311698737	0.2299760405
285	0.9311833587	0.2298027464
286	0.9312526195	0.2296897991
287	0.9312274216	0.2295857214
288	0.9312609259	0.2294716774
289	0.931254481	0.2292777424
290	0.9313465633	0.2290941219
291	0.9313466687	0.2289292743
292	0.9313513009	0.2287510527
293	0.9313959389	0.2285815265
294	0.9314077896	0.2283638715
295	0.9314278399	0.2282632859
296	0.9314636364	0.2281348404
297	0.9314666625	0.2280256881
298	0.931473448	0.2279734089
299	0.9314651872	0.2278918579
300	0.9315106922	0.2277452658
301	0.93156223	0.2276271906
302	0.931560892	0.2275688265
303	0.9315853975	0.2275194453
304	0.9316038484	0.227452484
305	0.9316659614	0.2273298246
306	0.9316990879	0.2271912456
307	0.9317973633	0.2270584661
308	0.9318343339	0.2268558564
309	0.9319062154	0.2266555676
310	0.9319798611	0.2264456929
311	0.9319884751	0.2263728349
312	0.9320053033	0.2262701632
313	0.9320589676	0.2260998348
314	0.9320733228	0.2260524108
315	0.9321261775	0.2258667065
316	0.9321395915	0.2256992133
317	0.9321660905	0.2255982808
318	0.9321892636	0.225500068
319	0.9322540874	0.2253758995
320	0.9323094573	0.225260099
321	0.9324038479	0.2251047943
322	0.9324035791	0.2249663706
323	0.9324476763	0.2247444434
324	0.9324521246	0.2246301789
325	0.9324507752	0.2245291057
326	0.9324951446	0.2243974488
327	0.9325747269	0.2241356111
328	0.9326149926	0.2240681953
329	0.9326410621	0.2238791857
330	0.9326725712	0.2238396989
331	0.9327255539	0.2236816636
332	0.9327280612	0.2236373115
333	0.9327354941	0.2235337569
334	0.9327515289	0.2234465104
335	0.9327674529	0.2233939874
336	0.9327829039	0.2233292764
337	0.9327789742	0.2232650894
338	0.9327804434	0.2232076572
339	0.9328139463	0.2231136038
340	0.9328360945	0.222975773
341	0.9328684792	0.2228745386
342	0.932892831	0.2227578697
343	0.9329131013	0.2226891053
344	0.9329452502	0.2225803912
345	0.9329672545	0.2224424
346	0.9330178806	0.222316987
347	0.9330172002	0.2222349277
348	0.9330196883	0.2221570096
349	0.9330635156	0.2220717533
350	0.9330490516	0.2219771823
351	0.9330527957	0.2218843171
352	0.9330815247	0.2217742972
353	0.9331098602	0.2217012268
354	0.9331067359	0.2216556665
355	0.9331400919	0.2216074688
356	0.9332229679	0.2214856415
357	0.9332963555	0.2212139762
358	0.9333189288	0.221114889
359	0.9333576274	0.2208780443
360	0.9333576053	0.2207410272
361	0.933364762	0.220708827
362	0.9333733445	0.2205826919
363	0.933386946	0.2205083398
364	0.9333924642	0.220468185
365	0.9334100671	0.2204138592
366	0.9334414849	0.2203262248
367	0.933510681	0.220168954
368	0.9335300567	0.2200307144
369	0.933637403	0.2199352777
370	0.9336310459	0.2199059759
371	0.9336227912	0.219777322
372	0.9336642658	0.2196454887
373	0.9337296525	0.2195418529
374	0.9337468407	0.2195180185
375	0.9337518873	0.2194375708
376	0.9337856029	0.2192843064
377	0.9338409597	0.2191442501
378	0.9338456538	0.2191100266
379	0.9338371653	0.2190375661
380	0.9338561179	0.2189750925
381	0.93388575	0.2188491599
382	0.9338976519	0.2188025303
383	0.9338981577	0.2186923908
384	0.9339248464	0.2186513717
385	0.9339271994	0.2185250636
386	0.933935823	0.2184556042
387	0.9339597783	0.2183830124
388	0.9339603303	0.2183337383
389	0.9339842777	0.218247655
390	0.9339901569	0.2181926823
391	0.9339990354	0.2181660662
392	0.9340058503	0.2181011256
393	0.934027658	0.2180176377
394	0.9340281036	0.2179911715
395	0.9340684434	0.2179020728
396	0.9340794932	0.2177857645
397	0.9341523363	0.217682616
398	0.9341838135	0.2175647134
399	0.934233275	0.2175019064
400	0.9342633967	0.2174407338
401	0.9342697999	0.2173766885
402	0.9342906618	0.2172967207
403	0.9343258917	0.2172199816
404	0.9343567494	0.217169173
405	0.9343432839	0.2170886688
406	0.9343661816	0.2169808789
407	0.9343744025	0.2168998433
408	0.9343669831	0.2168710826
409	0.934368685	0.2168229934
410	0.9343769966	0.2167816135
411	0.9343683502	0.2166904242
412	0.9343807743	0.2166308765
413	0.9343859179	0.2165635726
414	0.9344225902	0.2165157715
415	0.9344430575	0.2164254147
416	0.9344867004	0.216317248
417	0.9345130998	0.2162806861
418	0.9345231961	0.216240737
419	0.9345486041	0.2161901062
420	0.9345773854	0.2160739004
421	0.9346152902	0.2159511766
422	0.9346219601	0.2159132272
423	0.9346464445	0.2158415946
424	0.9346343955	0.2157930593
425	0.9346617553	0.2156382118
426	0.9346525336	0.215528532
427	0.9346609477	0.2154254757
428	0.9347017893	0.215345475
429	0.9346945263	0.2152708032
430	0.9347258487	0.2151615508
431	0.9347711332	0.2151250971
432	0.9348025165	0.2150707606
433	0.9347861045	0.2150118321
434	0.9347969073	0.2149056294
435	0.9348045359	0.2148595562
436	0.9348176061	0.2148052669
437	0.9348180974	0.2147833175
438	0.934821757	0.2147561397
439	0.9348678344	0.2146834941
440	0.9348698987	0.2146376982
441	0.9348860395	0.2145340018
442	0.9348870381	0.2144942529
443	0.9348867599	0.2144206994
444	0.9348959175	0.2143479575
445	0.9349442091	0.214234834
446	0.9349406668	0.2141948869
447	0.9349527454	0.2141275943
448	0.9349970012	0.2139504742
449	0.9349956783	0.2139288923
450	0.9349882088	0.2138360902
451	0.9349887832	0.213789297
452	0.9349990832	0.2137524604
453	0.9349955796	0.2136777923
454	0.935028218	0.2136555554
455	0.935036168	0.2136347646
456	0.9350495691	0.2135740869
457	0.9351357803	0.2135022925
458	0.9351748697	0.2134211829
459	0.9351739746	0.2133911572
460	0.9352125346	0.2132507668
461	0.9351976967	0.2132193967
462	0.9352088954	0.2131829613
